"code","iso","country","PRS.ind.1995","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024"
234,"FRO","Faeroe Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
238,"FLK","Falkland Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
242,"FJI","Fiji",27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,28.3,29.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3
246,"FIN","Finland",60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.1,59.5,59,59,59,59,59,59,59
250,"FRA","France",56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,57.7,58.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,23.2,27.7,32.3,32.3,32.3,32.3,32.3,32.3,32.3
270,"GMB","Gambia",67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,63.3,59.1,55,55,55,55,55,55,55
268,"GEO","Georgia",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,50.9,46.5,42.1,42.1,42.1,42.1,42.1,42.1,42.1
276,"DEU","Germany",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.3,65.8,65.4,65.4,65.4,65.4,65.4,65.4,65.4
288,"GHA","Ghana",68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,67.5,66.2,64.9,64.9,64.9,64.9,64.9,64.9,64.9
300,"GRC","Greece",55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,53.7,51.9,50.1,50.1,50.1,50.1,50.1,50.1,50.1
304,"GRL","Greenland",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
308,"GRD","Grenada",4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,10,15.8,21.6,21.6,21.6,21.6,21.6,21.6,21.6
320,"GTM","Guatemala",50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50,49.7,49.5,49.5,49.5,49.5,49.5,49.5,49.5
831,"GGY","Guernsey",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
324,"GIN","Guinea",95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,90.9,86.1,81.4,81.4,81.4,81.4,81.4,81.4,81.4
624,"GNB","Guinea-Bissau",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,85.5,80.9,76.3,76.3,76.3,76.3,76.3,76.3,76.3
328,"GUY","Guyana",69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,63.4,57.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
332,"HTI","Haiti",93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,95,96.6,98.3,98.3,98.3,98.3,98.3,98.3,98.3
336,"VAT","Holy See",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60.6,60.1,59.7,59.7,59.7,59.7,59.7,59.7,59.7
340,"HND","Honduras",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
344,"HKG","Hong Kong",34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,29.4,24.3,19.2,19.2,19.2,19.2,19.2,19.2,19.2
